Item,Price
Chips De Papas Con Sal Y Vinagre,"$6,500.00"
Dona Bombón,"$7,350.00"
Muffin de arándanos,"$9,576.92"
Torta De Almojabana,"$13,300.00"
Cheesecake Frutos Rojos,"$13,900.00"
Arepa Con Queso,"$5,928.57"
Arepa de queso,"$5,342.86"
Napolitana de Cacao,"$5,214.29"
Cake Pop Chocolate,"$5,900.00"
Cake Pop Red Velvet,"$5,900.00"
Pumpkin Spice Latte,"$14,062.50"
Pumpkin Spice Frappuccino,"$14,080.00"
Desayuno Starbucks,"$18,800.00"
Pistacho Latte,"$11,566.67"
Torta de Manzana,"$10,700.00"
Pistacho Mocha Blanco Latte,"$12,900.00"
Pistacho Green Tea Latte,"$12,900.00"
Pistacho Mocha Latte,"$13,233.33"
Pistacho Latte Helado,"$10,900.00"
Pistacho Mocha Latte Helado,"$12,900.00"
Pistacho Mocha Blanco Latte Helado,"$12,900.00"
Pistacho Green Tea Latte Helado,"$12,900.00"
Pistacho Frappuccino Cream,"$12,500.00"
Pistacho Mocha Frappuccino Cream,"$13,500.00"
Pistacho Mocha Blanco Frappuccino Cream,"$13,500.00"
Pistacho Green Tea Frappuccino Cream,"$13,500.00"
Vainilla sweet cream cold brew,"$10,542.86"
Café del día,"$7,505.88"
Latte,"$10,911.11"
Espresso americano,"$8,616.67"
Flat white,"$12,527.78"
Latte Macchiato,"$13,193.33"
Cordusio,"$10,125.00"
Vainilla Latte Caliente,"$10,500.00"
Caramel macchiato,"$13,644.44"
Mocha blanco,"$13,744.44"
Mocha,"$13,744.44"
Dolce canela latte,"$12,764.29"
Arequipe latte,"$13,594.44"
Vainilla Latte Helado,"$10,500.00"
Dolce Canela Latte Helado,"$13,245.45"
Arequipe Latte Helado,"$13,245.45"
Cookies & cream frappuccino,"$14,558.82"
Cold brew,"$10,611.11"
Latte Helado,"$11,433.33"
Espresso Americano Helado,"$9,140.00"
Flat White Helado,"$14,540.00"
Latte Macchiato Helado,"$13,900.00"
Caramel Macchiato Helado,"$13,846.67"
Chocolate Shaken Espresso,"$13,700.00"
Avellana Shaken Espresso,"$13,518.18"
Mocha Helado,"$14,113.33"
